"Postal code area","Inhabitants, total, 2018 (HE)","Males, 2018 (HE)","Females, 2018 (HE)"
"54430  Hujakkala (Lappeenranta)",160,79,81
"54460  Ylijärvi (Lappeenranta)",85,43,42
"54490  Ahomäki (Miehikkälä)",151,81,70
"54500  Taavetti-Somerharju (Luumäki)",2652,1296,1356
"54510  Uro (Luumäki)",393,214,179
"54530  Luumäki (Luumäki)",1186,603,583
"54550  Suo-Anttila (Luumäki)",77,39,38
"54580  Somerharju (Luumäki)",37,22,15
"54590  Kaitjärvi (Luumäki)",122,62,60
"54710  Lemi Keskus (Lemi)",1313,659,654
"54720  Laksiainen (Lemi)",151,83,68
"54750  Välijoki (Savitaipale)",273,144,129
"54770  Heituinlahti (Savitaipale)",510,274,236
"54800  Savitaipale Keskus (Savitaipale)",2482,1200,1282
"54820  Kotimäki (Lemi)",249,134,115
"54850  Kuukanniemi (Lemi)",1109,589,520
"54915  Saimaanharju-Kyläniemi (Taipalsaari)",1731,857,874
"54920  Taipalsaari (Taipalsaari)",1532,792,740
"54930  Levänen (Taipalsaari)",298,161,137
"54940  Solkei (Taipalsaari)",108,66,42
"54950  Pettilä (Savitaipale)",92,49,43
"54960  Vehkataipale (Taipalsaari)",599,302,297
"55100  Imatra Keskus (Imatra)",9819,4743,5076
"55120  Mansikkala-Tuulikallio (Imatra)",3180,1453,1727
"55300  Rauha-Tiuruniemi (Lappeenranta)",962,484,478
"55320  Rauha (Lappeenranta)",563,292,271
"55330  Tiuruniemi (Lappeenranta)",61,35,26
"55400  Tainionkoski-Mustalampi (Imatra)",1311,659,652
"55420  Karhumäki-Karhukallio (Imatra)",2019,1039,980
"55510  Sotkulampi-Linnasuo (Imatra)",1295,597,698
"55610  Rajapatsas-Teppanala (Imatra)",2766,1375,1391
"55700  Vintteri-Virasoja (Imatra)",1409,729,680
"55800  Vuoksenniska-Saarlampi (Imatra)",4089,2016,2073
"55910  Rautio-Kurkvuori (Imatra)",1539,785,754
"56100  Ruokolahti Keskus (Ruokolahti)",2019,908,1111
"56120  Salosaari (Ruokolahti)",822,416,406
"56140  Äitsaari (Ruokolahti)",214,118,96
"56210  Virmutjoki (Ruokolahti)",405,206,199
"56310  Syyspohja (Ruokolahti)",190,100,90
"56330  Utula (Ruokolahti)",32,19,13
"56350  Kyläniemi (Taipalsaari)",17,...,...
"56410  Kaiturinpää (Ruokolahti)",141,74,67
"56440  Pohja-Lankila (Ruokolahti)",203,103,100
"56510  Puntala (Ruokolahti)",410,211,199
"56550  Niska-Pietilä (Rautjärvi)",121,65,56
"56610  Rautjärvi (Rautjärvi)",559,298,261
"56640  Purnujärvi (Rautjärvi)",97,50,47
"56710  Miettilä (Rautjärvi)",119,63,56
"56730  Laikko (Rautjärvi)",301,158,143
"56800  Simpele (Rautjärvi)",2320,1153,1167
"57100  Heikinpohja-Piispanmäki (Savonlinna)",3752,1555,2197
"57120  Savonlinna (Savonlinna)",35,18,17
"57130  Savonlinna Keskus (Savonlinna)",1812,739,1073
"57170  Sortteerinlahti-Talvisalo (Savonlinna)",1864,798,1066
"57200  Miekonniemi-Venäjänniemi (Savonlinna)",2353,1169,1184
"57210  Nojanmaa (Savonlinna)",2616,1285,1331
"57220  Haka-alue-Viuhonmäki (Savonlinna)",1357,691,666
"57230  Inkerinkylä (Savonlinna)",3058,1622,1436
"57310  Rinkilä (Savonlinna)",692,341,351
"57510  Laitaatsilta (Savonlinna)",464,218,246
"57600  Poukkusilta-Pihlajaniemi (Savonlinna)",1780,889,891
"57710  Kellarpelto-Rantakoivikko (Savonlinna)",2743,1367,1376
"57810  Aholahti (Savonlinna)",322,168,154
"58130  Oravi (Savonlinna)",117,61,56
"58140  Ahvensalmi (Savonlinna)",75,36,39
"58150  Makkola (Savonlinna)",216,122,94
"58160  Karvila (Enonkoski)",158,87,71
"58170  Simanala (Enonkoski)",251,129,122
"58175  Enonkoski Keskus (Enonkoski)",842,417,425
"58180  Ihamaniemi (Enonkoski)",144,81,63
"58200  Kerimäki Keskus (Savonlinna)",3201,1593,1608
"58220  Louhi (Savonlinna)",399,225,174
"58260  Kumpuranta (Savonlinna)",169,88,81
"58300  Savonranta Keskus (Savonlinna)",637,333,304
"58320  Raikuu (Savonlinna)",170,96,74
"58350  Villala (Kitee)",201,118,83
"58360  Säimen (Savonlinna)",186,94,92
"58390  Rönkönvaara (Savonlinna)",47,29,18
"58410  Haapakallio (Savonlinna)",627,322,305
"58420  Silvola (Savonlinna)",335,188,147
"58430  Kulennoinen (Savonlinna)",466,245,221
"58450  Punkaharju (Savonlinna)",411,205,206
"58500  Punkasalmi (Savonlinna)",1496,738,758
"58520  Hiukkajoki (Savonlinna)",299,163,136
"58550  Putikko (Savonlinna)",415,223,192
"58570  Ruhvana (Savonlinna)",70,39,31
"58580  Vuoriniemi (Savonlinna)",94,51,43
"58610  Telakanava (Sulkava)",133,67,66
"58620  Lohilahti (Sulkava)",245,127,118
"58650  Kiviapaja (Savonlinna)",107,60,47
"58680  Piojärvi (Savonlinna)",49,28,21
"58690  Ala-Särkilahti-Piojärvi (Savonlinna)",97,53,44
"58700  Sulkava Keskus (Sulkava)",1981,986,995
"58720  Kaartilankoski (Sulkava)",283,150,133
"58770  Pihlajalahti (Savonlinna)",219,121,98
"58810  Kallislahti (Savonlinna)",304,157,147
"58830  Parkumäki (Rantasalmi)",285,140,145
"58850  Hiltula (Rantasalmi)",99,54,45
"58900  Rantasalmi Keskus (Rantasalmi)",2285,1121,1164
"58910  Rantasalmi Asemanseutu (Rantasalmi)",189,101,88
"58920  Kolkontaipale (Rantasalmi)",318,180,138
"58940  Tuusmäki (Rantasalmi)",228,123,105
"59100  Parikkala Keskus (Parikkala)",2059,988,1071
"59130  Koitsanlahti (Parikkala)",174,93,81
"59210  Melkoniemi (Parikkala)",144,82,62
"59310  Särkisalmi (Parikkala)",827,424,403
"59320  Haapaoja (Parikkala)",83,40,43
"59410  Kirjavala (Parikkala)",395,214,181
"59510  Maironiemi (Parikkala)",372,183,189
"59520  Saari (Parikkala)",122,69,53
"59530  Mikkolanniemi (Parikkala)",72,38,34
"59610  Tarnala (Parikkala)",159,83,76
"59710  Kummunkylä (Parikkala)",109,55,54
"59720  Niukkala (Parikkala)",137,71,66
"59730  Uukuniemi (Parikkala)",108,61,47
"59800  Kesälahti Keskus (Kitee)",1494,734,760
"59810  Suurikylä (Kitee)",78,41,37
"59820  Purujärvi-Rajavaara (Kitee)",137,76,61
"60100  Seinäjoki Keskus (Seinäjoki)",10151,4521,5630
"60120  Pohja (Seinäjoki)",2572,1219,1353
"60150  Kasperi (Seinäjoki)",4587,2299,2288
"60200  Törnävä (Seinäjoki)",11806,5847,5959
"60220  Huhtala (Seinäjoki)",1856,776,1080
"60280  Eskoon Keskuslaitosalue (Seinäjoki)",48,20,28
"60320  Alakylä-Jouppi (Seinäjoki)",7289,3568,3721
"60420  Impivaara (Seinäjoki)",1228,633,595
"60450  Munakka (Ilmajoki)",406,208,198
"60510  Hyllykallio (Seinäjoki)",9091,4506,4585
"60550  Nurmo Keskus (Seinäjoki)",4322,2146,2176
"60560  Halkosaari (Seinäjoki)",699,362,337
"60640  Kurjenneva (Seinäjoki)",687,368,319
"60720  Tuomikylä (Ilmajoki)",2232,1138,1094
"60760  Pojanluoma (Ilmajoki)",979,496,483
"60800  Ilmajoki Keskus (Ilmajoki)",5867,2896,2971
"61100  Peräseinäjoki Keskus (Seinäjoki)",1945,963,982
"61110  Vuolle (Seinäjoki)",195,101,94
"61120  Louko (Seinäjoki)",677,356,321
"61140  Pasto (Seinäjoki)",132,70,62
"61150  Sydänmaa (Alavus)",69,36,33
"61160  Koura (Seinäjoki)",562,291,271
"61170  Sääskiniemi (Alavus)",271,146,125
"61180  Haapaluoma (Seinäjoki)",208,110,98
"61220  Myllysalo (Kurikka)",224,124,100
"61230  Luopa (Kurikka)",703,356,347
"61250  Jalasto (Kurikka)",296,157,139
"61270  Luopajärvi (Kurikka)",605,319,286
"61280  Jokipii (Kurikka)",496,249,247
"61290  Taivalmaa (Kurikka)",105,55,50
"61300  Kurikka Keskus (Kurikka)",6556,3150,3406
"61310  Panttila (Kurikka)",710,371,339
"61330  Koskenkorva (Ilmajoki)",2012,1037,975
"61340  Nopankylä (Ilmajoki)",252,136,116
"61350  Huissi (Ilmajoki)",367,196,171
"61360  Mieto (Kurikka)",987,524,463
"61370  Lohiluoma (Kurikka)",340,190,150
"61380  Polvenkylä (Kurikka)",177,100,77
"61400  Ylistaro Keskus (Seinäjoki)",2019,973,1046
"61410  Ylistaro Asemanseutu (Seinäjoki)",782,408,374
"61430  Isorehto (Seinäjoki)",395,219,176
"61440  Untamala (Seinäjoki)",185,107,78
"61450  Kylänpää (Seinäjoki)",561,287,274
"61460  Hanhikoski (Seinäjoki)",257,126,131
"61470  Kitinoja (Seinäjoki)",450,221,229
"61500  Isokyrö Keskus (Isokyrö)",2665,1285,1380
"61520  Lehmäjoki (Isokyrö)",214,120,94
"61550  Orismala (Isokyrö)",625,345,280
"61560  Orisberg (Isokyrö)",56,31,25
"61600  Jalasjärvi Keskus (Kurikka)",3952,1898,2054
"61630  Hirvijärvi (Kurikka)",283,148,135
"61640  Ala-Valli (Kurikka)",190,102,88
"61650  Kalakoski (Seinäjoki)",353,185,168
"61680  Mantila (Kurikka)",227,114,113
"61710  Pentinmäki (Kurikka)",279,145,134
"61720  Koskue (Kurikka)",535,291,244
"61730  Yli-Valli (Kurikka)",224,128,96
"61760  Ilvesjoki (Kurikka)",329,174,155
"61800  Kauhajoki Keskus (Kauhajoki)",8130,3936,4194
"61810  Luomankylä (Kauhajoki)",280,159,121
"61820  Kainasto (Kauhajoki)",593,304,289
"61840  Norinkylä (Teuva)",276,150,126
"61850  Kauhajoki Asemanseutu (Kauhajoki)",2120,1084,1036
"61860  Harja (Kauhajoki)",201,100,101
"61880  Ikkeläjärvi (Kauhajoki)",176,98,78
"61910  Nummijärvi (Kauhajoki)",266,149,117
"61920  Nummikoski (Kauhajoki)",63,33,30
"61940  Hyyppä (Kauhajoki)",293,158,135
"61950  Juonikylä (Kauhajoki)",158,85,73
"61960  Kyrönlatva (Kauhajoki)",123,67,56
"61980  Päntäne (Kauhajoki)",869,473,396
"62100  Lapua Keskus (Lapua)",10857,5267,5590
"62130  Hellanmaa (Lapua)",523,278,245
"62150  Rintakangas (Kauhava)",131,78,53
"62160  Karhunkylä (Lapua)",590,309,281
"62165  Tiisteenjoki (Lapua)",339,178,161
"62170  Lakaluoma (Lapua)",283,152,131
"62175  Ylikylä-Mäenpää (Lapua)",124,66,58
"62185  Mäki-Paavola (Lapua)",135,72,63
"62190  Ruha (Lapua)",581,309,272
"62200  Kauhava Keskus (Kauhava)",5681,2778,2903
"62220  Pernaa (Kauhava)",429,231,198
"62230  Jylhä (Kauhava)",382,209,173
"62240  Huhmarkoski (Kauhava)",500,262,238
"62260  Hirvijoki (Kauhava)",185,92,93
"62280  Mustamaa (Lapua)",120,67,53
"62290  Hirvikylä (Lapua)",254,123,131
"62295  Kauhajärvi (Lapua)",423,219,204
"62300  Härmä (Kauhava)",2359,1176,1183
"62310  Voltti (Kauhava)",1086,562,524
"62340  Kuoppa-Vakkuri (Kauhava)",90,44,46
"62350  Ekola (Kauhava)",109,55,54
"62370  Kangasto (Kauhava)",215,108,107
"62375  Ylihärmä Keskus-Vesiluoma (Kauhava)",2463,1224,1239
"62380  Kosolankylä (Kauhava)",195,104,91
"62395  Petterinmäki (Vöyri)",127,74,53
"62410  Rintala (Kauhava)",317,163,154
"62420  Kortesjärvi Keskus (Kauhava)",996,494,502
"62430  Peltotupa (Kauhava)",137,70,67
"62435  Pirttinen (Kauhava)",120,63,57
"62440  Perkiömäki (Kauhava)",99,61,38
"62470  Purmojärvi (Kauhava)",407,221,186
"62500  Evijärvi Keskus (Evijärvi)",1515,756,759
"62510  Kuoppa-aho (Evijärvi)",318,163,155
"62520  Kautiainen (Evijärvi)",135,75,60
"62540  Vasikka-aho (Evijärvi)",265,143,122
"62570  Särkilä (Evijärvi)",206,108,98
"62600  Lappajärvi Keskus (Lappajärvi)",1821,910,911
"62610  Tarvola (Lappajärvi)",124,58,66
"62620  Ala-Seppä (Lappajärvi)",183,90,93
"62630  Karvala (Lappajärvi)",294,147,147
"62640  Savonkylä (Lappajärvi)",118,62,56
"62660  Itäkylä (Lappajärvi)",544,273,271
"62710  Kurejoki (Alajärvi)",768,418,350
"62720  Sissala (Alajärvi)",324,161,163
"62730  Haukkala (Alajärvi)",225,121,104
"62740  Koskenvarsi (Alajärvi)",208,110,98
"62750  Saukonkylä (Alajärvi)",194,99,95
"62760  Menkijärvi (Alajärvi)",221,113,108
"62800  Vimpeli Keskus (Vimpeli)",2267,1133,1134
"62810  Savonjoki (Vimpeli)",116,66,50
"62830  Luoma-Aho (Alajärvi)",330,168,162
"62840  Lakaniemi-Pokela (Vimpeli)",48,25,23
"62860  Sahi (Vimpeli)",183,98,85
"62870  Vinni (Vimpeli)",47,24,23
"62880  Sääksvesi-Vinni (Vimpeli)",260,150,110
"62900  Alajärvi Keskus (Alajärvi)",4632,2251,2381
"62920  Levijoki (Alajärvi)",83,43,40
"62940  Hoisko (Alajärvi)",569,295,274
"62950  Paalijärvi (Alajärvi)",429,233,196
"62990  Möksy (Alajärvi)",127,70,57
"63100  Kuortane Keskus (Kuortane)",1427,681,746
"63120  Leppälänkylä (Kuortane)",328,174,154
"63130  Mäyry (Kuortane)",693,370,323
"63150  Ruona (Kuortane)",411,216,195
"63160  Salmi (Kuortane)",135,79,56
"63210  Niinimaa (Alavus)",109,58,51
"63230  Lentilä (Kuortane)",301,168,133
"63250  Rantala (Kuortane)",111,53,58
"63300  Alavus Keskus (Alavus)",4764,2274,2490
"63320  Kattelus (Alavus)",62,36,26
"63330  Pahajoki (Alavus)",152,82,70
"63340  Sapsalampi (Alavus)",193,99,94
"63350  Sulkavankylä (Alavus)",210,112,98
"63355  Seinäjärvi (Alavus)",120,67,53
"63360  Kuivaskylä (Alavus)",254,145,109
"63370  Taipalus (Alavus)",515,285,230
"63400  Alavus Asemanseutu (Alavus)",1224,642,582
"63410  Rantatöysä (Alavus)",433,233,200
"63430  Kätkänjoki (Alavus)",148,85,63
"63450  Löyä (Kuortane)",61,33,28
"63500  Lehtimäki Keskus (Alajärvi)",889,439,450
"63510  Lehtimäki Kirkonkylä (Alajärvi)",268,146,122
"63530  Länsikylä (Alajärvi)",151,82,69
"63540  Hernesmaa (Alajärvi)",194,100,94
"63600  Töysä Keskus (Alavus)",1237,605,632
"63610  Tuuri (Alavus)",1086,542,544
"63640  Ritola (Alavus)",329,187,142
"63660  Ähtärinranta (Ähtäri)",175,92,83
"63680  Hakojärvi (Alavus)",317,160,157
"63700  Ähtäri Keskus (Ähtäri)",4120,2051,2069
"63770  Peränne (Ähtäri)",205,100,105
"63780  Alastaipale (Ähtäri)",152,80,72
"63800  Soini Keskus (Soini)",1679,842,837
"63830  Keisala (Soini)",63,31,32
"63880  Kukonkylä (Soini)",161,84,77
"63890  Hautakylä (Soini)",112,63,49
"63900  Myllymäki-Vehunkylä (Ähtäri)",516,287,229
"63910  Inhan Tehtaat (Ähtäri)",184,101,83
"63920  Inha (Ähtäri)",328,167,161
"63950  Vehunkylä (Ähtäri)",48,29,19
"64100  Kristiinankaupunki keskus (Kristinestad)",2869,1369,1500
"64140  Tiukka (Kristinestad)",521,284,237
"64200  Närpiö Keskus (Närpes)",3033,1464,1569
"64210  Kalax (Närpes)",429,207,222
"64220  Yttermark (Närpes)",932,515,417
"64230  Närpiön Asemanseutu (Närpes)",983,500,483
"64240  Böle (Närpes)",249,129,120
"64250  Pjelax (Närpes)",372,201,171
"64260  Kaskinen (Kaskinen)",1327,666,661
"64300  Lapväärtti (Kristinestad)",1733,873,860
"64320  Dagsmark (Kristinestad)",423,209,214
"64350  Karijoki Keskus (Karijoki)",1052,547,505
"64370  Myrkky (Karijoki)",263,140,123
"64440  Metsälä-Kallträsk (Kristinestad)",201,108,93
"64450  Kallträsk (Kristinestad)",53,27,26
"64460  Härkmeri (Kristinestad)",389,210,179
"64480  Skaftung (Kristinestad)",228,126,102
"64490  Siipyy (Kristinestad)",156,82,74
"64510  Nämpnäs (Närpes)",429,231,198
"64530  Norrnäs (Närpes)",273,137,136
"64550  Rangsby (Närpes)",263,133,130
"64610  Övermark (Närpes)",1097,543,554
"64700  Teuva Keskus (Teuva)",3269,1606,1663
"64720  Perälä (Teuva)",568,316,252
"64740  Horo (Teuva)",229,120,109
"64760  Peltola (Teuva)",325,191,134
"64770  Äystö (Teuva)",497,265,232
"64810  Vanhakylä (Isojoki)",225,128,97
"64820  Kärjenkoski (Isojoki)",174,97,77
"64830  Villamo (Isojoki)",169,95,74
"64840  Heikkilänjoki (Isojoki)",41,20,21
"64850  Möykky (Isojoki)",113,65,48
"64900  Isojoki Keskus (Isojoki)",1083,561,522
"64930  Kodesjärvi (Isojoki)",176,99,77
"65100  Vaasa Keskus (Vaasa)",18349,8732,9617
"65130  Hietalahti (Vaasa)",0,0,0
"65170  Vaskiluoto (Vaasa)",344,189,155
"65200  Palosaari (Vaasa)",5705,3000,2705
"65230  Vetokannas (Vaasa)",5676,2896,2780
"65280  Gerby (Vaasa)",7138,3623,3515
"65300  Asevelikylä (Vaasa)",5296,2673,2623
"65320  Huutoniemi (Vaasa)",6195,3150,3045
"65350  Suvilahti (Vaasa)",3772,1847,1925
"65370  Ristinummi (Vaasa)",4366,2268,2098
"65380  Vanha Vaasa (Vaasa)",3207,1633,1574
"65410  Sundom (Vaasa)",2547,1287,1260
"65450  Sulva (Korsholm)",2013,1001,1012
"65460  Tölby-Rimal (Korsholm)",361,182,179
"65470  Rimal (Korsholm)",53,30,23
"65480  Vikby (Korsholm)",266,128,138
"65520  Helsingby (Korsholm)",1449,759,690
"65610  Mustasaari Keskus (Korsholm)",5864,2868,2996
"65630  Karperö (Korsholm)",1347,665,682
"65650  Koskö (Korsholm)",292,147,145
"65710  Singsby (Korsholm)",628,323,305
"65730  Jungsund (Korsholm)",434,215,219
"65760  Iskmo (Korsholm)",272,137,135
"65800  Raippaluoto (Korsholm)",846,424,422
"65870  Björköby (Korsholm)",339,179,160
"65920  Norra Vallgrund-Söderudden (Korsholm)",344,184,160
"65930  Södra Vallgrund (Korsholm)",357,182,175
"65970  Söderudden (Korsholm)",195,100,95
"66100  Maalahti (Malax)",2010,996,1014
"66140  Övermalax (Malax)",1562,815,747
"66160  Långåminne (Malax)",276,150,126
"66200  Korsnäs Keskus (Korsnäs)",858,429,429
"66210  Moikipää (Korsnäs)",530,272,258
"66220  Bergö (Malax)",458,263,195
"66230  Korsbäck (Korsnäs)",80,41,39
"66240  Petolahti (Malax)",1021,510,511
"66260  Svarvar (Malax)",102,59,43
"66270  Pirttikylä-Sorvari (Närpes)",840,435,405
"66280  Taklax (Korsnäs)",331,176,155
"66290  Harrström (Korsnäs)",328,180,148
"66295  Töjby (Närpes)",362,188,174
"66300  Jurva Keskus (Kurikka)",2059,997,1062
"66320  Niemenkylä (Kurikka)",309,154,155
"66330  Hakko (Kurikka)",253,138,115
"66340  Sarvijoki (Kurikka)",330,169,161
"66350  Tainus (Kurikka)",145,77,68
"66360  Kesti (Kurikka)",369,203,166
"66370  Närvijoki (Kurikka)",261,138,123
"66400  Laihia Keskus (Laihia)",6095,3041,3054
"66420  Ruto (Laihia)",328,174,154
"66430  Vedenoja (Vaasa)",174,92,82
"66440  Tervajoki (Isokyrö)",1921,1007,914
"66450  Jakkula (Laihia)",865,461,404
"66460  Haapala (Laihia)",342,178,164
"66470  Jukaja-Jokisalo (Laihia)",314,164,150
"66500  Vähäkyrö Keskus (Vaasa)",2270,1172,1098
"66510  Merikaarto (Vaasa)",1263,681,582
"66520  Veikkaala (Korsholm)",548,285,263
"66530  Koivulahti (Korsholm)",1898,959,939
"66540  Petsmo (Korsholm)",606,323,283
"66550  Västerhankmo (Korsholm)",303,160,143
"66560  Österhankmo (Korsholm)",238,119,119
"66580  Kuni (Korsholm)",409,205,204
"66590  Vassor (Korsholm)",180,96,84
"66600  Vöyri Keskus (Vöyri)",2768,1391,1377
"66640  Maksamaa (Vöyri)",1049,541,508
"66660  Bertby (Vöyri)",142,69,73
"66680  Kaurajärvi (Vöyri)",99,55,44
"66710  Kaitsor (Vöyri)",260,138,122
"66730  Oxkangar (Vöyri)",64,35,29
"66800  Oravainen Keskus (Vöyri)",1008,508,500
"66810  Kimo (Vöyri)",296,160,136
"66820  Komossa (Vöyri)",222,126,96
"66830  Oravaisten Tehdas (Vöyri)",471,246,225
"66840  Pensala (Nykarleby)",339,175,164
"66850  Jepua (Nykarleby)",932,510,422
"66900  Uusikaarlepyy Keskus (Nykarleby)",3998,2022,1976
"66910  Soklot (Nykarleby)",484,256,228
"66930  Kovjoki (Nykarleby)",238,124,114
"66950  Munsala (Nykarleby)",945,501,444
"66970  Hirvlax (Nykarleby)",448,229,219
"66980  Monå (Nykarleby)",124,60,64
"66999  Kaukaluoto (Korsholm)",64,35,29
"67100  Kokkola Keskus (Kokkola)",10285,4832,5453
"67200  Kiviniitty-Tullimäki (Kokkola)",4436,2078,2358
"67300  Halkokari (Kokkola)",4245,2071,2174
"67400  Rytimäki (Kokkola)",4747,2355,2392
"67410  Vitsari (Kokkola)",789,426,363
"67500  Sokoja (Kokkola)",1146,576,570
"67600  Linnusperä-Kaustari (Kokkola)",2908,1479,1429
"67700  Kirkonmäki-Isokylä (Kokkola)",5135,2535,2600
"67800  Koivuhaka (Kokkola)",3556,1812,1744
"67900  Ykspihjala (Kokkola)",1352,703,649
"68100  Himanka Keskus (Kalajoki)",2393,1201,1192
"68150  Hillilä (Kalajoki)",293,148,145
"68210  Marinkainen (Kokkola)",880,444,436
"68220  Karhi (Kokkola)",126,69,57
"68230  Lohtaja Keskus (Kokkola)",1107,569,538
"68240  Ala-Viirre (Kokkola)",330,170,160
"68300  Kälviä Keskus (Kokkola)",3746,1914,1832
"68320  Ruotsalo (Kokkola)",797,433,364
"68370  Ullava Keskus (Kokkola)",389,198,191
"68380  Yli-Ullava (Kokkola)",339,173,166
"68390  Rahkonen (Kokkola)",148,73,75
"68410  Alaveteli (Kronoby)",1602,829,773
"68500  Kruunupyy Keskus (Kronoby)",2837,1402,1435
"68530  Lepplax (Pedersöre)",651,341,310
"68550  Öja (Kokkola)",728,387,341
"68555  Bosund (Larsmo)",1059,563,496
"68560  Eugmo (Larsmo)",1013,525,488
"68570  Luoto (Larsmo)",2374,1207,1167
"68580  Furuholmen (Larsmo)",852,429,423
"68600  Pietarsaari Keskus (Jakobstad)",11463,5695,5768
"68620  Skutnäs-Västermalm (Jakobstad)",4927,2463,2464
"68630  Kyrkostrand (Jakobstad)",2568,1308,1260
"68660  Östermalm-Björnholmen (Jakobstad)",2181,1103,1078
"68690  Sundby (Pedersöre)",342,181,161
"68700  Teerijärvi (Kronoby)",1783,899,884
"68750  Småbönders (Kronoby)",243,124,119
"68800  Kolppi (Pedersöre)",1206,628,578
"68810  Ytteresse (Pedersöre)",1596,831,765
"68820  Ähtävä (Pedersöre)",1097,556,541
"68830  Bäckby (Pedersöre)",129,70,59
"68840  Nederlappfors (Pedersöre)",317,159,158
"68870  Edsevö (Pedersöre)",508,260,248
"68910  Pännäinen (Pedersöre)",1299,661,638
"68920  Forsby (Pedersöre)",468,241,227
"68930  Purmo (Pedersöre)",675,346,329
"68940  Lillby (Pedersöre)",485,259,226
"68970  Överpurmo (Pedersöre)",215,110,105
"68999  Rita (Kokkola)",100,48,52
"69100  Kannus Keskus (Kannus)",4972,2446,2526
"69150  Eskola (Kannus)",413,216,197
"69170  Yli-Kannus (Kannus)",298,146,152
"69300  Toholampi Keskus (Toholampi)",2078,1046,1032
"69310  Laitala (Toholampi)",327,181,146
"69330  Määttälä (Toholampi)",138,70,68
"69340  Purontaka (Toholampi)",148,77,71
"69410  Sykäräinen (Toholampi)",418,222,196
"69420  Syri (Lestijärvi)",57,28,29
"69440  Lestijärvi Keskus (Lestijärvi)",430,229,201
"69450  Yli-Lesti (Lestijärvi)",209,108,101
"69510  Halsua Keskus-Marjusaari (Halsua)",811,413,398
"69550  Kanala (Halsua)",83,48,35
"69570  Karvonen (Halsua)",271,137,134
"69600  Kaustinen Keskus (Kaustinen)",4026,2014,2012
"69660  Köyhäjoki (Kaustinen)",228,117,111
"69700  Veteli Keskus (Veteli)",1387,715,672
"69730  Tunkkari (Veteli)",507,258,249
"69750  Sillanpää (Veteli)",164,84,80
"69820  Räyrinki (Veteli)",607,306,301
"69830  Pulkkinen (Veteli)",252,139,113
"69850  Patana (Veteli)",202,111,91
"69910  Kivikangas (Perho)",50,27,23
"69920  Oksakoski-Kivikangas (Perho)",509,269,240
"69950  Perho Keskus-Salamajärvi (Perho)",1267,625,642
"69970  Salamajärvi (Perho)",29,...,...
"69980  Möttönen (Perho)",968,491,477
"70100  Kuopio Keskus (Kuopio)",11629,5098,6531
"70110  Etu-Niirala (Kuopio)",3845,1652,2193
"70150  Neulamäki (Kuopio)",4945,2559,2386
"70200  Puijonlaakso (Kuopio)",7328,3278,4050
"70210  Kuopion Keskussairaala-alue (Kuopio)",80,24,56
"70240  Niuvaniemen Sairaala-alue (Kuopio)",94,66,28
"70260  Julkula (Kuopio)",2485,1213,1272
"70280  Länsi-Puijo (Kuopio)",2144,1045,1099
"70300  Linnanpelto (Kuopio)",1181,525,656
"70340  Inkilänmäki (Kuopio)",4039,2025,2014
"70400  Kettulanlahti (Kuopio)",761,369,392
"70420  Päiväranta (Kuopio)",2297,1119,1178
"70460  Saarijärvi (Kuopio)",3748,1810,1938
"70500  Männistö (Kuopio)",6981,3274,3707
"70600  Niirala-Huuhanmäki (Kuopio)",3418,1637,1781
"70620  Haapaniemi (Kuopio)",2296,1118,1178
"70700  Särkiniemi (Kuopio)",3723,1812,1911
"70780  Jynkkä (Kuopio)",4818,2391,2427
"70800  Pitkälahti (Kuopio)",3279,1665,1614
"70820  Litmanen (Kuopio)",13572,6688,6884
"70840  Jynkänmäki (Kuopio)",7818,3883,3935
"70870  Hiltulanlahti (Kuopio)",2848,1453,1395
"70900  Toivala (Siilinjärvi)",3024,1531,1493
"70910  Vuorela (Siilinjärvi)",3079,1464,1615
"70940  Jännevirta (Kuopio)",563,296,267
"71130  Kortejoki (Kuopio)",528,265,263
"71150  Vartiala (Kuopio)",618,324,294
"71160  Riistavesi (Kuopio)",1480,746,734
"71170  Laukka-aho (Tuusniemi)",96,47,49
"71200  Tuusniemi Keskus (Tuusniemi)",1494,723,771
"71210  Tuusjärvi (Tuusniemi)",226,116,110
"71240  Paakkila (Tuusniemi)",218,115,103
"71260  Juurikkamäki (Tuusniemi)",154,90,64
"71280  Kosula (Tuusniemi)",224,126,98
"71310  Vehmersalmi Keskus (Kuopio)",1187,600,587
"71330  Räsälä (Kuopio)",352,195,157
"71360  Litmaniemi (Kuopio)",162,89,73
"71380  Mustinlahti (Kuopio)",139,78,61
"71460  Paukarlahti (Leppävirta)",477,243,234
"71470  Oravikoski (Leppävirta)",442,233,209
"71480  Kurkimäki (Kuopio)",1148,592,556
"71490  Airaksela (Kuopio)",268,143,125
"71520  Kaislastenlahti (Kuopio)",322,167,155
"71570  Syvänniemi (Kuopio)",1314,671,643
"71610  Salonkulma (Kuopio)",3,...,...
"71640  Talluskylä (Tervo)",203,120,83
"71650  Hirvilahti-Salonkulma (Kuopio)",451,245,206
"71660  Leinolanlahti (Kuopio)",102,59,43
"71670  Kurolanlahti (Kuopio)",79,45,34
"71680  Pulkonkoski-Saarinen (Kuopio)",220,119,101
"71690  Varpasmaa (Kuopio)",13,...,...
"71720  Käärmelahti (Kuopio)",643,327,316
